Xgh1cW3kQ20	12:40 com com com??? Que venen rovellons??
2qSwBHBb83M	39 0 44?
Xgh1cW3kQ20	6:55 link de descarga?
1WEddQb6USI	@Dr.Agustin para la apendice tiene los mismos beneficiós?
Xgh1cW3kQ20	@Tamayo conoces Xifra?? Aquí en Londres lo están petando entre los Latinos, supuestamente ganas dinero con el cambio en criptomonedas y ganas comisiones de los que entran a invertir gracias a ti…😅
XMq1m983RHg	A aparecido alguien a quién lo haya hecho VIVIR 2.000 AÑOS?
Xp__l8Rbwwc	A día de hoy todavía es rentable trabajar con este gano exel?, tengo conocidos que entraron pero hace años y estaban bien con el negocio, pero a día de hoy los veo retirados de este negocio por eso la pregunta
U4D7lr4fmLU	A partir de qué edad es recomendable utilizarlo?
twOjUb9O5J0	A quien escucharian Acerca de como pilotiar un avión? A un piloto experto o a una persona que se montó en un avión?
U4D7lr4fmLU	Aki en la CDMX donde lo consigo??
_mPUaLgHG2k	Alguien ha utilizado el ganoderma? Tengo a mi madre enferma y me gustaría saber si es una opción.
KPj6ShsS5KQ	Alguien sabe si sirve para el vértigo ? Please!!
KPj6ShsS5KQ	Alguien tiene un testimonio sobre la riñiis cronica? Ayer me dijo el doctor que tengo eso, y un pilopo nasal
2qSwBHBb83M	Alguien. El ganodrma le ha ayudado con la diabetes ?
KPj6ShsS5KQ	Alguién que me pueda ayudar y me responda si personas que hayan pasado por cirugia del corazón y tenga problemas de arterias lo puede consumir?
6of1xw9rTa4	Algun testimonio de cancer?
twOjUb9O5J0	Alguno de ustedes sabe la definición de Pirámide en cuanto a negocios se refiere ???
5IvXr19NGEE	Ami me prohíben el café podría tomar el café con el hongo? O mejor un tee
YgtG_CLiEqQ	Amigo saludos, cómo se hace el negocio virtual?
5l03fRWsqjA	Arturo gracias me gustaria saber como podemos ayudar a una persona que tiene piedras en la visicula y en el riñon y tienes añgun testimonio de ellos dos ???  / Gracias espero tu resp.
Xp__l8Rbwwc	Aun aplica enero 2025?
6of1xw9rTa4	Ayuda al cáncer del estómago?
aCj_oZbPABA	Bendiciones Dr.  Escuché el hongo ayda en la absorción de hierro,  pero si una persona esta alta de hierro como bloquear la absorción del hierro?para poder tomar el hongo. Muchas gracias
KPj6ShsS5KQ	Bendiciones amigos tengo una. Duda  hay posibilidades de crear una dependencia al hongo?
twOjUb9O5J0	Bro, puedes hablar sobre la "empresa Xifra"?
2qSwBHBb83M	Buen dia,puede ayudar a la gastritis cronica?.
aCj_oZbPABA	Buen día Dr / Con q tipo de bebida me recomienda consumir el Ganoderma y q horario sería lo ideal? / Gracias
1WEddQb6USI	Buen día Dr. Yo apenas lo empecé a tomar ayer pero actualmente padezco de presión baja y alta, ácido úrico, colesterol y triglicéridos. Mi pregunta seria, podré regular estos detalles y dejar de tomar tantos medicamentos para dedicarme solo al café con ganoderma? O cree que debería dejar las medicinas paulatinamente?
Xp__l8Rbwwc	Buen día Juan...excelente presentación, muy enriquecedora, yo tengo una consulta porque el invima en Colombia,le pone etiquetas de exceso en azúcares en el 3 en 1,eso seria un motivo para una objeción  de compra en el producto.?
GxbbUIZrxn4	Buen día, Doctor Dios le bendiga desde México. Es lo mismo el ongo reishi y Ganoderma???
G_yiwDKXiEY	Buen día, porfavor como lo reconozco, encontré un hongo y por la descripción parece que es el ganoderma  reishi, me podrían colaborar porfavor? Estoy en cali colombia
KPj6ShsS5KQ	Buen día, una consulta, al realizar el proceso para mezclar el ganoderma con otros alimentos como el café, no se perderían sus propiedades en todo este proceso??
U4D7lr4fmLU	Buena tarde Dr.  / Quiero preguntar, viendo su vídeo sobre este hongo maravilloso hablo de la desintoxicación del hígado, que productos ayudan para hacerlo y en cuantos días se puede desintoxicar? Muchas gracias.
aCj_oZbPABA	Buenas Dr Castillo, ¿la ASHWAGHANDA es tan buena como dicen?
1WEddQb6USI	Buenas doctor el café o el chocolate sirve para los calores de la menopausia y sus demás síntomas?
gIsNsvKkQwY	Buenas doctor,  estoy en menopausia q producto de ganoderma me serrviria más?
U4D7lr4fmLU	Buenas noches Dr. / El cereal lo puede tomar un niño de 9 años para el estreñimiento? Cuál debe ser la dosis?
KeghrBg0yVo	Buenas noches para la ansiedad y no puede dormir, para una señora de edad 60 años , que tratamiento se le puede indicar?
aCj_oZbPABA	Buenas tardes  / Dr, y para la esclerosis múltiple será bueno este hongo ? / Gracias
KeghrBg0yVo	Buenas tardes  / Estás pastillas perjudican al hígado?? A un hígado que ya tiene problemas de inflamación. Gracias
GxbbUIZrxn4	Buenas tardes Dr Landivar, consumo ese hongo 🍄 y es muy bueno pero en forma de café ☕️ será beneficioso igual ? ya l escucho Dr !!  / Bendiciones!! 👋🏻♥️🍃
2qSwBHBb83M	Buenas tardes a todos, alguien q tomo pa síndrome de ovarios poliquistico, tan bien es bueno o?
1WEddQb6USI	Buenas tardes doctor es bueno tomar el cafe que se estila? Gracias
aCj_oZbPABA	Buenas tardes doctor le agradezco infinitamente sus videos me han servido mucho, una pregunta...me dijeron que ese hongo sirve para la fibromialgia es esto cierto?
aCj_oZbPABA	Buenas tardes doctor una pregunta mi padre se toma adiro 100mg por un infarto que la dio hace 5años se puede tomar el hongo? Es que he leído que no es recomendable con los anticoagulantes, muchas gracias por su labor
aCj_oZbPABA	Buenas tardes doctor, es verdad que sirve para el parkinson?
aCj_oZbPABA	Buenas tardes, entiendo que este hongo adaptogeno es inmunoregulador, en tal caso tiene beneficios para personas con hipotiroidismo de hashimoto? Puede tomarse mientras uno toma la levotiroxina. El reishí en la noche y la levo en la mañana. Muchas gracias por su respuesta 😊
U4D7lr4fmLU	Buenas tardes, puedo compartir tu video en mi pagina de Facebook?
2qSwBHBb83M	Buenas tardes. Estoy afiliado hace tiempo pero no he vuelto a trabajar. Qué debo hacer para solicitar producto?
gIsNsvKkQwY	Buenos dias!! Dr. Donde lo puedo conseguir? Un saludo desde San Diego, CA
U4D7lr4fmLU	Buenos días / Doctor tengo una pregunta el ganoderma ayuda a curar el cáncer de tiroides? / Y se pueden tomar los tres productos el ganoderma la espirulina y el glutation?  / Gracias por resolver mis inquietudes
gIsNsvKkQwY	Buenos días mi querido doctor muy importante su información.doctor yo lo puedo consumir teniendo hipertiroidismo?. Dios te bendiga 🙏
KPj6ShsS5KQ	Buenos días.. estoy anticoagulada y operada de Ca de pulmón puedo tomarlo?
5IvXr19NGEE	Buenss noche  / Consulta en curculacion cronica como coágulos en varices ayuda?
2qSwBHBb83M	Como adquirir el producto?
Xgh1cW3kQ20	Como el producto va a ser lo de menos?? En cualquier compañía, el producto es lo importante, o cómo se supone que una empresa monetiza? Jajaja cualquier empresa para sobrevivir necesita ventas y si el producto no es bueno como se venderá? Además, Explíquenme dónde está la estafa? Jajaja me vi el video y no me quedó claro! Toca segunda parte donde venga la estafa!
KPj6ShsS5KQ	Como hace una persona para saber que Reishi en polvo nos venden, hay de todos los precios y sé que muchas empresas quieren justificar la calidad vendiendo a precios muy altos.?
Xgh1cW3kQ20	Como le hago para contar mi experiencia con estos sujetos? Y9 tengo una que salió bastante mal
6of1xw9rTa4	Como lo puedo. Conseguir este. Cafe?❤
1WEddQb6USI	Como prepararl El cafe con Ganoderma?
Xgh1cW3kQ20	Como puedo darte información sobre algo que yo creo es una estafa? Es de una academia
1WEddQb6USI	Como puedo,comunicarme   con  el Dctor  Landivar?
5IvXr19NGEE	Como se debe tomar el ganoderma? Yo compré el hongo al natural y dice que se debe lavar mucho y después hervirlo por media hora es así que se debe hacer??
2qSwBHBb83M	Como se que es verdad?
YgtG_CLiEqQ	Como tú dices todas dos son excelentes compañías con excelentes productos, ahí te corrijo algo y es que en el sistema binario  que maneja GE no es de suerte además simplemente es una de las 12 Formas de Ganar que hay,  otra cosa que noto y es DXN alimenta la mediocridad de las personas, al dejarles las cosas aparentemente fáciles, convenciendo de que no tendrán que consumir los productos obligatoria,  que jamás se borran los puntos, entre otras, pero vamos a ser sinceros, ¿si el enfoque es construir una comunidad de personas que consuman Ganoderma Lucidim, por qué el motivo de no incentivar el consumo mes a mes? Es algo a lo que no le veo coherencia. En el mundo real el Montar negocios tradicionales requieren de gastos fijos como arriendo, servicios, nomina, y se sacan adelante con mucho esfuerzo y persistencia. /  /  / En conclusión, me incliné por Gano Excel, por su sistema de capacitación, Liderazgo, emprendimiento que te preparan para el mundo de Negocios,  por qué el sistema binario si se entiende bien su apalancamiento, requiere de menor esfuerzo que su Unilevel, Por qué se enfoca al consumo, y aunque sean más costosos que los de DXN, siempre se mantendrá en su excelentee comercialización.
Xp__l8Rbwwc	Conoces DXN??
KeghrBg0yVo	Consumo los productos de ganoderma hace unos años es maravilloso. Que producto y que dosis me recomiendas para una persona con Ansiedad e insomnio cronico? Gracias
f2sBbYhCiiY	Cual de todos estos productos DXN ya conoces o has probado?
6of1xw9rTa4	Cuales son las Contraindicaciones?
5EwsPP1-jLg	Cualquier marca o alguna marca en especial o si es importante la marca?
XMq1m983RHg	Cura la candidiasis ????
twOjUb9O5J0	Cómo estara este morro después de dos años de estar montando está DESINFORMACIÓN ya será millonario? Por que yo estoy muy bien muy muy bien con el negocio que el desedifica aquí
aCj_oZbPABA	Cómo hago para comprar?
5IvXr19NGEE	Cómo lo pulverizan?
2qSwBHBb83M	Cómo puedo comprar estos productos? Soy de Mèxico
6of1xw9rTa4	Cómo puedo realizar la compra?
6of1xw9rTa4	Cómo se consigue?? / Espero ayude con la tiroides. /   Si alguien envía la foto del producto,se lo agradezco.
Xp__l8Rbwwc	Cómo se consume el cereal?
1WEddQb6USI	Cómo se prepara el café con ganoderma Dr?
2qSwBHBb83M	DISCULPE EL CAFE EXCEL CLASICO TRAE LOS 6 TIPOS DE GANODERMA?
XMq1m983RHg	DONDE LO PUEDO COMPRAR?donde lo compro.
Xgh1cW3kQ20	Dale Carnegie. ¿Cómo ganar amigos e influir en las personas?
Xp__l8Rbwwc	De cuanto es la recompra? Cuanto vale cada punto?
